id,fastq1,fastq2
1,data/LP3200982-NTP-B01-02d5d854-0f18-44d1-ad91-ed6cf7401821_S2_L001_R1_001.fastq.gz,data/LP3200982-NTP-B01-02d5d854-0f18-44d1-ad91-ed6cf7401821_S2_L001_R1_001.fastq.gz
2,data/LP3200983-NTP-B01-02d5d854-0f18-44d1-ad91-ed6cf7401821_S2_L001_R1_001.fastq.gz,data/LP3200983-NTP-B01-02d5d854-0f18-44d1-ad91-ed6cf7401821_S2_L001_R1_001.fastq.gz
